"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@thomassurdi it’s very naive to assume that a virus that has been able to normally infect vaxxed ppl won’t mutate t… https://t.co/7yYkxi01GI",FALSE,0,"thomassurdi",2022-01-27 01:55:07,TRUE,"1486506163231461376","1486518098287116293","326673462","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RUSSBOT66",0,FALSE,FALSE,NA,NA
"I still don’t understand people who keep on saying BTS = Hybe. They are shareholders, they aren’t ‘exactly’ the com… https://t.co/2y8fSQ78CT",FALSE,0,NA,2022-01-27 01:55:07,TRUE,NA,"1486518098211471360",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","V714301",0,FALSE,FALSE,NA,NA
"RT @BBCWilliamWho: Do you think BBC Three should commission a #DoctorWho Prequel Series?

I honestly think they should. The potential with…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518098194804746",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Karaoke_God",40,TRUE,FALSE,NA,NA
"RT @DlS_3ASE: funny bc…. this the exact same thing kpop stan twt dr@gs bts for like<U+0001F62D><U+0001F62D><U+0001F62D> stop being hypocrites for ONCE https://t.co/1PNxFh9n…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518098186407936",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","poopheadstuff",638,TRUE,FALSE,NA,NA
"Cause you and we're facing Will blow right over while we stay put The house don't matter (ooh) Paint could peel, the foundation",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518098131828738",NA,"<a href=\"https://designmiamioh.org\" rel=\"nofollow\">Robert Bot App</a>","r_buchanan_",0,FALSE,FALSE,NA,NA
"RT @PatrickTimmons1: If you want us to know that you hate Arsenal, you can just tweet it. You don’t have to go to the effort of editing a l…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518098064781319",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SagarM_",585,TRUE,FALSE,NA,NA
"@MyTSharp973 @TheStrickland True. Ride him when hes hot. Sit him when he is not feeling it. Maybe im too simple about it idk",FALSE,0,"MyTSharp973",2022-01-27 01:55:07,FALSE,"1486517196796928002","1486518098031222785","794108252","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","T_LiciousX",0,FALSE,FALSE,NA,NA
"RT @BretWeinstein: Pharma has captured more than regulators and public health authorities. It has invaded people’s minds—including some goo…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097959739392",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","remvcc",1922,TRUE,FALSE,NA,NA
"quads once they get older because their bodies will break down. which is just untrue when male skaters do quads int… https://t.co/siJFLuvoHn",FALSE,0,"hanyuchopin",2022-01-27 01:55:07,TRUE,"1486518096156405764","1486518097938948098","1159755542069256193","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","hanyuchopin",0,FALSE,FALSE,NA,NA
"RT @fifafooz1: Tejasswi's brother Pratik Wayangankar. Tweeted to Support her sister Teja, He says , \"At Least she apologised when it wasn't…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097901068291",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PRATIK_PGW",279,TRUE,FALSE,NA,NA
"can’t be serious for shit when i’m w los <U+0001F480>",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097884319744",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jennaaesco",0,FALSE,FALSE,NA,NA
"@RepMattGaetz I’m going to enjoy your downfall Matt. It brings pure joy. You talked a big talk. Funny how you don’t… https://t.co/ggRUdIoCyV",FALSE,0,"RepMattGaetz",2022-01-27 01:55:07,TRUE,"1486424311468597250","1486518097838182404","818948638890217473","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","larrylipstick69",0,FALSE,FALSE,NA,NA
"RT @CoachSmith_Troy: Incredibly thankful for this opportunity! Extremely thankful for @CoachJonSumrall and Trojan Nation! I wouldn’t be abl…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097829892101",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","zbranner70",2,TRUE,FALSE,NA,NA
"I really don’t know what made me say to myself, “Yeah, KV, you def have time to enroll in an almost fulltime coding… https://t.co/1sPJ6wAJc0",FALSE,0,NA,2022-01-27 01:55:07,TRUE,NA,"1486518097767014406",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KVtheWriter",0,FALSE,FALSE,NA,NA
"Don’t miss @sexxyshow #SexxyAfterDark this Thursday - Saturday<U+203C> Visit https://t.co/5wZzHScG7p for tickets. https://t.co/NYoKCvXwUB",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097708257283",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","hustlervegas",0,FALSE,FALSE,NA,NA
"Aight I know y’all were mean to my recent ex for his looks because y’all said he wasn’t my type but I found the log… https://t.co/JsYY6nSZrV",FALSE,0,NA,2022-01-27 01:55:07,TRUE,NA,"1486518097628569601",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","simplyaddy13",0,FALSE,FALSE,NA,NA
"@Tooryan_se i don't think i ever listened to them <U+0001F910> but speaking of duos, i'm also trying to track down as many do… https://t.co/l8fqMbb0VN",FALSE,0,"Tooryan_se",2022-01-27 01:55:07,TRUE,"1486517639555997700","1486518097607593986","1367608771632115715","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","kiokushitaka",0,FALSE,FALSE,NA,NA
"RT @Mayloony_: Dead birds can’t fly 
.
[likes and rts are swag] 
.
[ #originsmpfanart #originsmp #wilbur #wilburfanart #mcyt #mcytfanart ]…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097506971649",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","spiritofhutao",128,TRUE,FALSE,NA,NA
"RT @austinxwill: I’ve had such a blessed dating life. Even my worst experiences don’t really compare to some of the stories I see online.",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097406214147",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sfengalii",5,TRUE,FALSE,NA,NA
"@TevinWmusic @lilsmichelle Isn’t that an optimistic way of looking at it",FALSE,0,"TevinWmusic",2022-01-27 01:55:07,FALSE,"1486432205207449600","1486518097389375492","27982893","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JenniferWillcut",0,FALSE,FALSE,NA,NA
"u think i don’t know noh? HAHAHAHA jokes on u ate <U+0001F97A>",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097364529152",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","lovieandra",0,FALSE,FALSE,NA,NA
"RT @TWICESTATS: <U+2705>Total Days on Spotify Global Chart<U+0001F30F> 
(Daily Top200)

#1. #TheFeels - 113 days*<U+23EB> (#184)
#2. I CAN’T STOP ME - 53 days
#3. A…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097351954432",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","bbh61348928",272,TRUE,FALSE,NA,NA
"RT @npreeko: Y’all don’t be mean fr y’all just be miserable <U+0001F602>",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097318236163",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KyahDaBastard",9017,TRUE,FALSE,NA,NA
"RT @sandavidcito: y'all ever misspell a word so bad autocorrect don't even help you out",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097314041861",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","noahwhu",3,TRUE,FALSE,NA,NA
"RT @Varun593558841: Today #ShamitaShetty showed why she deserves to Win this show more than anyone else !!

She was fire / She conduct hers…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097309618181",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BishalSwastik",236,TRUE,FALSE,NA,NA
"Honestly, if she doesn’t send you wings when you’re having a bad day……. 

You just aren’t with the right one.",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097297264643",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","D_Fort5",0,FALSE,FALSE,NA,NA
"RT @thsuburbanmommy: I don’t particularly understand or agree with friends who have vaccinated their under-12 healthy kids. But I don’t rea…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097288867844",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Belllec585858",67,TRUE,FALSE,NA,NA
"RT @NickForVA: The people screaming \"government healthcare is a right\" are the same ones lining up to deny it to you when you don't obey. h…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097255493633",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Vaderpic",1379,TRUE,FALSE,NA,NA
"@berriviv Hello, good morning, don't forget to eat your breakfast and have a nice day today!! <U+0001F340><U+2728><U+2665><U+FE0F>",FALSE,0,"berriviv",2022-01-27 01:55:07,FALSE,"1486517675392073728","1486518097225732098","1382358128818200578","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Jeykey_jk_97",0,FALSE,FALSE,NA,NA
"@NagitoFries780 @TylorStankley @FroggyTheMii I didn't know it was a thing til a week ago",FALSE,0,"NagitoFries780",2022-01-27 01:55:07,FALSE,"1486517683562680321","1486518097213214721","1238499471304122368","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ItsNeon2401",0,FALSE,FALSE,NA,NA
"RT @Fibci2: Is it true that city of Waltham in Massachusetts, doesn’t mandate vaccines but @gustazocafe in Waltham requires to see your vac…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097209090048",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","lsferguson",11,TRUE,FALSE,NA,NA
"RT @vxrnvn: When I get my nut and you don’t cause I worked for it https://t.co/oWUOpmnJxH",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097196560388",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Gibby_BWA",2066,TRUE,FALSE,NA,NA
"RT @BuieBedi12: 135.Age is a case of mind over matter. If you don't mind, it don't matter.\" - Satchel Paige 

#HBDShehnaazGill
@ishehnaaz_g…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097062158340",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","shivcse30",7,TRUE,FALSE,NA,NA
"RT @_emcaron: \"We are disappointed to learn that Mr. Baldwin continues to repeat these false and inappropriate allegations,” D.C.-based att…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097020338177",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Sportico",1,TRUE,FALSE,NA,NA
"RT @notorious__ad: @bornsavageme @VootSelect @justvoot Year, journey video kal hoga and telecast Friday ko
#biggboss #BB15GrandFinale

#Pra…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518097016143872",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Aysha__niha",4,TRUE,FALSE,NA,NA
"@JuddLegum Judd, thank you for taking part in our country. We have held high standards of learning, sharing and gro… https://t.co/H2z7adbZz0",FALSE,0,"JuddLegum",2022-01-27 01:55:07,TRUE,"1486494820138897408","1486518097007706113","15464697","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BadaBadaBingo",0,FALSE,FALSE,NA,NA
"Tie game coming out of a timeout, 3 from the logo. Doesn’t make any sense",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096965820427",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","connor_jones756",0,FALSE,FALSE,NA,NA
"RT @luxuryse: <U+20B1>460 | 130K IDR | $10 • 2 HRS 

– rt ; rt &amp; like @Poeticwtf recent tweet",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096906973185",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","panalo_na_ko",19,TRUE,FALSE,NA,NA
"@SodaPopBarbecue @LioManBad Also, as someone who WAS a GamerGate supporter, to the point my first commentary was DE… https://t.co/UrBmYWMkHF",FALSE,0,"Doodletones",2022-01-27 01:55:07,TRUE,"1486517750747045891","1486518096903000068","494129536","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Doodletones",0,FALSE,FALSE,NA,NA
"RT @taraghuveer: 95% of organizing isn't seen in public: Prepping meeting agendas, setting up folding chairs, arranging rides and childcare…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096865087491",NA,"<a href=\"https://twitterrific.com/ios\" rel=\"nofollow\">Twitterrific for iOS</a>","Eilonwy24",973,TRUE,FALSE,NA,NA
"@DocumentingBTC We don’t buy bitcoin 
We earn bitcoin from mining 
I’m ready to show anyone interested how to earn… https://t.co/Mn8lXUv8IQ",FALSE,0,"DocumentingBTC",2022-01-27 01:55:07,TRUE,"1486461529138548738","1486518096789741581","1337780902680809474","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","liamkohhler",0,FALSE,FALSE,NA,NA
"Oh and potential work friend when I asked if she knew of Halsey goes. \"I don't know much of her music but I can rel… https://t.co/sq4O3kLX3m",FALSE,0,NA,2022-01-27 01:55:07,TRUE,NA,"1486518096722464769",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CallMeTemporary",0,FALSE,FALSE,NA,NA
"RT @atrupar: This is one of the most pathetic things I've ever seen. Would be hilarious if it wasn't killing people.",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096714256389",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","BernieConnor9",692,TRUE,FALSE,NA,NA
"DIVIDE AND CONQUER: Woodgrove High School in Virginia is Giving Masked Students 15More Minutes of Lunch Time https://t.co/Q3FQy6XfTr",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096709967873",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","DRevcar",0,FALSE,FALSE,NA,NA
"RT @IAStartingLine: Grassley was asked about some Republicans calling Russia a friend amidst the Ukraine situation.

“I wouldn’t consider R…",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096705712130",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","awelab1956",4,TRUE,FALSE,NA,NA
"RT @Maymytan: $1.5 | 21.000 IDR - 2hours<U+0001F98B>

— like &amp; comment on @itsfreddylol<U+0001F4CC>

— Reply f",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096672157698",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ddelovaria",26,TRUE,FALSE,NA,NA
"RT @AtownBrown: @0xMiraceti Don’t spread fud just educate and build",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096651161602",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","lzyghst",1,TRUE,FALSE,NA,NA
"@Roblox bring back the old Woman head we don't like the new one <U+0001F62D><U+0001F62D><U+0001F62D>",FALSE,0,"Roblox",2022-01-27 01:55:07,FALSE,NA,"1486518096621805572","16745055","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","JKrxzy",0,FALSE,FALSE,NA,NA
"It’s cold af outside, u got a coat u don’t wear of choose not too? Give it too the man freezing his fingers off loo… https://t.co/UHai8yjYhX",FALSE,0,NA,2022-01-27 01:55:07,TRUE,NA,"1486518096605159426",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Carlo_Lucifora",0,FALSE,FALSE,NA,NA
"My feet hurt so bad. I can’t wait to get off and smoke a blunt",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096567455745",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","_payrolljay",0,FALSE,FALSE,NA,NA
"Report[2022-01-27  1:55 am]
•Temperature : 34°C
•Humidity :",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096550674433",NA,"<a href=\"https://thingspeak.com/apps/thingtweet\" rel=\"nofollow\">ThingTweet</a>","Wasitpo90508115",0,FALSE,FALSE,NA,NA
"@QUEERBAITTO i can’t… its too cute<U+0001F622>",FALSE,0,"QUEERBAITTO",2022-01-27 01:55:07,FALSE,"1486517539521785859","1486518096495976452","1451548126003691530","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ichaefl",0,FALSE,FALSE,NA,NA
"@maoistbitch @SyndicateRebel @SameeraKhan I’m not at all for imperialism. I don’t want Russia to attack and annex U… https://t.co/y3m8cRrIx5",FALSE,0,"maoistbitch",2022-01-27 01:55:07,TRUE,"1486517794128674818","1486518096491864068","1405535657338966019","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","EarthWillBeRed",0,FALSE,FALSE,NA,NA
"I wish I knew. But, I don’t know. https://t.co/owAIoFSfOj",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096483561474",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jon40191108",0,FALSE,FALSE,NA,NA
"RT @nanisxo: Airpods ain’t enough i needed to be in the studio when drake recorded fire &amp; desire",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096479207426",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","_joxnnax_",1435,TRUE,FALSE,NA,NA
"@PaperFox21 Well, I guess it's for people who don't have their account configured as \"over 18\", I draw SFW and NSFW… https://t.co/5SeFE73hEE",FALSE,0,"PaperFox21",2022-01-27 01:55:07,TRUE,"1486517127242829832","1486518096475078659","434006975","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","nakamura_kiku",0,FALSE,FALSE,NA,NA
"RT @LouieDi13: Don’t worry bro! U go learn for twitter! Same person with different profile same account number will still come nonworry",FALSE,0,NA,2022-01-27 01:55:07,FALSE,NA,"1486518096454164488",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dameey_",2,TRUE,FALSE,NA,NA
"Ain’t talk all day , can’t help but wonder if you good wit that 
Maybe sometime is okay but like me do you regret that",FALSE,0,NA,2022-01-27 01:55:06,FALSE,NA,"1486518096349122560",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","slowburrnn",0,FALSE,FALSE,NA,NA
"@ZachWolchuk @ChiofaloSports as if the Mavs didn’t already have trouble signing free agents… smh https://t.co/T6OuzgvcTR",FALSE,0,"ZachWolchuk",2022-01-27 01:55:06,FALSE,NA,"1486518096315695108","318490777","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dubndatub",0,FALSE,FALSE,NA,NA
"RT @davidwebbshow: Can't believe we don't have world peace after changing the name on pancake boxes and syrup bottles.",FALSE,0,NA,2022-01-27 01:55:06,FALSE,NA,"1486518096236011524",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Tklmanners17",3132,TRUE,FALSE,NA,NA
"this genuinely bugs me like. it’s so weird how much people tend to ignore the existence of men when discussing wome… https://t.co/q0eAO7smEe",FALSE,0,NA,2022-01-27 01:55:06,TRUE,NA,"1486518096156405764",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","hanyuchopin",0,FALSE,FALSE,NA,NA
